Qty, PROD_ID, Names, Value, Package,,,,Part Number,Added to Cart
1, CAP-11330, C1, 10uF,805,,,,1276-6456-2-ND,?
2, CAP-00868, C2, C3, 1.0uF,603,,,1276-1243-2-ND,?
1, CAP-14464, C4, 22uF,603,,,,490-7612-2-ND,?
1, DIO-00819, D1, RED, LED-0603,,,,?754-1122-1-ND? ,?
2, CONN-13694, J1, J2, QWIIC_RIGHT_ANGLE, JST04_1MM_RA,,,PRT-14417 ,SFE
1, NDUC-10146, L1, 4.7µH/±30%/1.2A, INDUCTOR_4.7UH,,,,308-2297-1-ND?,?
2, TRANS-00830, Q1, Q2, 220mA/50V/3.5Ω, SOT23-3,,,BSS138LT,?
2, RES-09385, R1, R2, 200k,603,,,311-200KHRTR-ND,?
2, RES-10054, R3, R4, 2.0M,603,,,311-2.0MGRCT-ND?,?
1, RES-07871, R5, 47k,603,,,,311-47KGRCT-ND ,?
3, RES-07857, R6, R7, R8, 4.7k,603,,311-4.7KGRCT-ND ,?
4, RES-14241, R9, R10, R11, R12, 10k, 0402-TIGHT,311-10.0KLRTR-ND,?
1, RES-00818, R13,330,603,,,,P330HCT-ND,?
1, , U1, PL-N823-01PL-N823-01_LENS, PL-N823-01_LENS,,,,,SFE
1, IC-12270, U2, ADS1015, MSOP10,,,,296-25227-2-ND,?
1, IC-10035, U3, TPS61200, QFN-10_PAD,,,,296-21663-2-ND,?
